stop,stop_name,stop_lat,stop_lon,geometry
ESPERANZA,ESPERANZA,40.45945,-3.64582,POINT (445244.05970134714 4478953.959557667)
ESTACION DEL ARTE,ESTACION DEL ARTE,40.40885,-3.69249,POINT (441243.07775928004 4473367.355392122)
ESTADIO METROPOLITANO,ESTADIO METROPOLITANO,40.43339,-3.60015,POINT (449096.56361622975 4476033.983357466)
ESTRECHO,ESTRECHO,40.45429,-3.70302,POINT (440389.7518250018 4478418.242932004)
ESTRELLA,ESTRELLA,40.41147,-3.66179,POINT (443850.13169736584 4473638.216470843)
FERIA DE MADRID,FERIA DE MADRID,40.46389,-3.6162,POINT (447758.85121846996 4479428.851829576)
FRANCOS RODRIGUEZ,FRANCOS RODRIGUEZ,40.45648,-3.71239,POINT (439597.20850543544 4478667.701466056)
FUENCARRAL,FUENCARRAL,40.49509,-3.69283,POINT (441289.33513273846 4482940.239955128)
GARCIA NOBLEJAS,GARCIA NOBLEJAS,40.42842,-3.6333,POINT (446280.87904111977 4475501.944972385)
GOYA,GOYA,40.42455,-3.67591,POINT (442663.21041240817 4475099.156728241)
GRAN VIA,GRAN VIA,40.42001,-3.7018,POINT (440462.9668277073 4474612.341171474)
GREGORIO MARAÑON,GREGORIO MARAÑON,40.43825,-3.69148,POINT (441354.3151785219 4476630.074714734)
GUZMAN EL BUENO,GUZMAN EL BUENO,40.44633,-3.71229,POINT (439596.5996512532 4477540.98024388)
HERRERA ORIA,HERRERA ORIA,40.48466,-3.70751,POINT (440036.0534802152 4481792.372052355)
HORTALEZA,HORTALEZA,40.47537,-3.65257,POINT (444684.8191415205 4480725.293365678)
HOSPITAL 12 DE OCTUBRE,HOSPITAL 12 DE OCTUBRE,40.37503,-3.69585,POINT (440928.4381609356 4469615.6054609055)
IBIZA,IBIZA,40.41839,-3.67858,POINT (442431.4641328521 4474417.135410392)
IGLESIA,IGLESIA,40.43492,-3.69898,POINT (440715.296495158 4476265.451512406)
