stop1,stop2,transporte1,transporte2
ACACIAS,EMBAJADORES,urban,urban
ACACIAS,LEGAZPI,urban,urban
ACACIAS,PIRAMIDES,urban,urban
ACACIAS,PUERTA DE TOLEDO,urban,urban
AEROPUERTO T-4,AEROPUERTO T1-T2-T3,urban,urban
AEROPUERTO T1-T2-T3,ALAMEDA DE OSUNA,urban,urban
AEROPUERTO T1-T2-T3,BARAJAS,urban,urban
AEROPUERTO T1-T2-T3,CANILLEJAS,urban,urban
AEROPUERTO T1-T2-T3,ODONNELL,urban,urban
ALAMEDA DE OSUNA,BARAJAS,urban,urban
ALAMEDA DE OSUNA,CANILLEJAS,urban,urban
ALAMEDA DE OSUNA,EL CAPRICHO,urban,urban
ALAMEDA DE OSUNA,FERIA DE MADRID,urban,urban
ALFONSO XIII,AVENIDA DE LA PAZ,urban,urban
ALFONSO XIII,CARTAGENA,urban,urban
ALFONSO XIII,CONCHA ESPINA,urban,urban
ALFONSO XIII,PARQUE DE LAS AVENIDAS,urban,urban
ALFONSO XIII,PROSPERIDAD,urban,urban
ALMENDRALES,HOSPITAL 12 DE OCTUBRE,urban,urban
ALMENDRALES,LEGAZPI,urban,urban
ALMENDRALES,SAN FERMIN-ORCASUR,urban,urban
ALMENDRALES,USERA,urban,urban
ALONSO CANO,CANAL,urban,urban
ALONSO CANO,GREGORIO MARAÑON,urban,urban
ALONSO CANO,IGLESIA,urban,urban
ALONSO CANO,NUEVOS MINISTERIOS,urban,urban
ALONSO CANO,RIOS ROSAS,urban,urban
ALONSO MARTINEZ,BILBAO,urban,urban
ALONSO MARTINEZ,CHUECA,urban,urban
ALONSO MARTINEZ,COLON,urban,urban
ALONSO MARTINEZ,IGLESIA,urban,urban
ALONSO MARTINEZ,RUBEN DARIO,urban,urban
ALSACIA,AVENIDA DE GUADALAJARA,urban,urban
ALSACIA,GARCIA NOBLEJAS,urban,urban
ALSACIA,LA ALMUDENA,urban,urban
ALSACIA,ODONNELL,urban,urban
ALSACIA,PAVONES,urban,urban
ALSACIA,SAN BLAS,urban,urban
ALSACIA,SIMANCAS,urban,urban
ALTO DE EXTREMADURA,BATAN,urban,urban
ALTO DE EXTREMADURA,LUCERO,urban,urban
ALTO DE EXTREMADURA,PUERTA DEL ANGEL,urban,urban
ALTO DEL ARENAL,BUENOS AIRES,urban,urban
ALTO DEL ARENAL,MIGUEL HERNANDEZ,urban,urban
ALTO DEL ARENAL,PAVONES,urban,urban
ALTO DEL ARENAL,PORTAZGO,urban,urban
ALUCHE,AVIACION ESPAÑOLA,urban,urban
ALUCHE,CAMPAMENTO,urban,urban
ALUCHE,CARABANCHEL ALTO,urban,urban
ALUCHE,CARPETANA,urban,urban
ALUCHE,CASA DE CAMPO,urban,urban
ALUCHE,EMPALME,urban,urban
ALUCHE,EUGENIA DE MONTIJO,urban,urban
ALUCHE,LA PESETA,urban,urban
ALUCHE,LUCERO,urban,urban
ALVARADO,CUATRO CAMINOS,urban,urban
ALVARADO,ESTRECHO,urban,urban
ALVARADO,FRANCOS RODRIGUEZ,urban,urban
ALVARADO,GUZMAN EL BUENO,urban,urban
ANTON MARTIN,ESTACION DEL ARTE,urban,urban
ANTON MARTIN,SEVILLA,urban,urban
ANTON MARTIN,TIRSO DE MOLINA,urban,urban
ANTONIO MACHADO,FRANCOS RODRIGUEZ,urban,urban
ANTONIO MACHADO,PEÑAGRANDE,urban,urban
ANTONIO MACHADO,VALDEACEDERAS,urban,urban
ANTONIO MACHADO,VALDEZARZA,urban,urban
ANTONIO MACHADO,VENTILLA,urban,urban
ARGANZUELA-PLANETARIO,LEGAZPI,urban,urban
ARGANZUELA-PLANETARIO,MENDEZ ALVARO,urban,urban
ARGÜELLES,CANAL,urban,urban
